total_lead_change_moves
15.4113
3.53103
4.23944
3.78756
18.1217
5.57759
9.84733
8.09211
6.76923
13.0579
7.88
5.4125
11.4186
22.3944
15.9355
6.75385
18.9878
12.0278
12.1062
14.8917
13.2411
3.15584
3.71006
11.1712
9.47541
12.3211
13.2772
8.16471
13.1023
4.45255
9.0687
5.11696
13.4505
10.1474
11.7152
8.01709
6.875
11.6569
12.4085
5.71321
10.8072
6.86486
5.76768
15.75
5.31731
16.1194
15.5495
6.33871
16.4455
4.16162
11.5378
10.6763
9.04865
7.91919
10.2982
13.5932
15.8
12.2171
13.5106
5.21583
5.36042
12.5319
10.631
7.18868
9.92308
12.4104
8.8599
10.7723
9.21053
7.94595
6.9697
3.29167
8.52703
18.9091
5.54598
12.6852
8.05584
7.4455
7.73262
13.2128
14.0326
19.6903
16.988
14.6897
8.48315
7.4876
15.3182
4.27273
7.18367
14.4286
16.4903
13.6134
16.6721
4.26829
21.6747
10.5648
12.5
20.3291
6.24342
8.84302
